study_name,trial_number,state,value,alpha,eps0,eps_decay,eps_end,gamma
sarsa-pokemon-study,92,COMPLETE,1.0,0.4572900185095847,0.5017473172367207,3563.0,0.18042882095408586,0.9351269159192495
sarsa-pokemon-study,93,COMPLETE,1.0,0.2999905306939695,0.9703694374366157,5913.0,0.13895652926411411,0.9230786729238492
sarsa-pokemon-study,94,COMPLETE,1.0,0.05559498189874758,0.572575051379862,8274.0,0.08754152990453343,0.9006084162669995
sarsa-pokemon-study,95,COMPLETE,0.3333333333333333,0.3649483621411414,0.9055307925433357,4609.0,0.1088604258527444,0.9588778113192595
sarsa-pokemon-study,96,PRUNED,0.0,0.23572493553002233,0.5368290396638234,6741.0,0.16353254654496122,0.9975746211486869
sarsa-pokemon-study,97,COMPLETE,1.0,0.06985066994532292,0.6604202493389857,3887.0,0.1490526690089932,0.928659401876558
sarsa-pokemon-study,98,PRUNED,0.0,0.44821613781280517,0.7467578898432746,2426.0,0.047024156739297863,0.9146835415961874
sarsa-pokemon-study,99,COMPLETE,1.0,0.08817696206267563,0.8352725713024433,4950.0,0.07447465221107688,0.906273810432197
sarsa-pokemon-study,100,COMPLETE,1.0,0.06645931890721136,0.5228329388924274,2913.0,0.17974988084677473,0.9482911953239848
sarsa-pokemon-study,101,COMPLETE,1.0,0.052715289951016465,0.5654477064302431,2056.0,0.1849327377220815,0.9719695104270164
sarsa-pokemon-study,102,COMPLETE,1.0,0.05632540059442125,0.6256525121833275,3731.0,0.19987999760803443,0.9916936330727714
sarsa-pokemon-study,103,COMPLETE,1.0,0.1337057860986747,0.51895811929036,4393.0,0.10508886363932629,0.9534449698797826
sarsa-pokemon-study,104,COMPLETE,1.0,0.07071565559340393,0.5461009261730908,3264.0,0.1566267225515759,0.9422730770743103
sarsa-pokemon-study,105,COMPLETE,1.0,0.10106818322145816,0.8934295092424964,1388.0,0.1748731793286045,0.9204075000543218
sarsa-pokemon-study,106,COMPLETE,1.0,0.08486126137368225,0.8066410797672559,6013.0,0.18789149104246475,0.9338739670114315
sarsa-pokemon-study,107,COMPLETE,1.0,0.11629853116053948,0.9324818458406704,4275.0,0.04950879904691439,0.9121857503783919
sarsa-pokemon-study,108,COMPLETE,1.0,0.06551636014140326,0.9822926826533103,7985.0,0.11956413751466373,0.9691115673605347
